regiao,beta,se,p,n
N,0.20574107829661853,0.037502868636427746,4.5671785153800215e-07,91
NE,0.20772762115385707,0.05594565514230052,0.0003298618131597486,117
CO,0.18819099621101623,0.03945126324066691,1.9689746989737245e-05,52
SE,-0.008783575475917293,0.08589286507634017,0.9190030613182107,52
S,0.15464176974980637,0.008954332869843857,0.0,39
